Country,ISO3,Year,consumption_gdp
Chile,CHL,2001,61.715832846146
Chile,CHL,2002,61.112429508575
Chile,CHL,2003,59.994146656402
Chile,CHL,2004,57.8444242446717
Chile,CHL,2005,57.4900587964009
Chile,CHL,2006,53.4968508012555
Chile,CHL,2007,53.823342973315
Chile,CHL,2008,58.1896329968349
Chile,CHL,2009,56.6662256549316
Chile,CHL,2010,56.5880468946975
Chile,CHL,2011,58.1445946346119
Chile,CHL,2012,59.3476809071101
Chile,CHL,2013,60.6858177600604
Chile,CHL,2014,61.2424027925022
Chile,CHL,2015,61.7753958333893
Chile,CHL,2016,62.1600869547592
Chile,CHL,2017,62.0780221408884
Chile,CHL,2018,62.0594089711882
Chile,CHL,2019,61.6694534371738
Chile,CHL,2020,58.4375141064989
Chile,CHL,2021,62.0942098138272
Chile,CHL,2022,63.6938352352536
China,CHN,2000,46.7323584232039
China,CHN,2001,45.519809663003
China,CHN,2002,44.9130188337297
China,CHN,2003,42.7077849953396
China,CHN,2004,40.610905600723
China,CHN,2005,39.586878355938
China,CHN,2006,37.7519795232291
China,CHN,2007,36.3695258176097
China,CHN,2008,35.2878801516335
China,CHN,2009,35.3272959056619
China,CHN,2010,34.326341089004
China,CHN,2011,34.9204283438326
China,CHN,2012,35.3865349121224
China,CHN,2013,35.8331311198854
China,CHN,2014,36.707898358839
China,CHN,2015,37.7730036552299
China,CHN,2016,38.6749819498488
China,CHN,2017,38.5427462169171
China,CHN,2018,38.5218805184666
China,CHN,2019,39.2480621307644
China,CHN,2020,38.2003123887963
China,CHN,2021,38.1135652499102
China,CHN,2022,37.3918108488905
Cyprus,CYP,2000,61.9036612042076
Cyprus,CYP,2001,61.6004722125363
Cyprus,CYP,2002,61.7602722160188
Cyprus,CYP,2003,60.892940386252
Cyprus,CYP,2004,61.4763054957619
Cyprus,CYP,2005,61.570975422382
Cyprus,CYP,2006,61.4317456263887
Cyprus,CYP,2007,63.9314950496678
Cyprus,CYP,2008,66.7547399884479
Cyprus,CYP,2009,63.6956023177164
Cyprus,CYP,2010,65.7988101100209
Cyprus,CYP,2011,65.7999378086748
Cyprus,CYP,2012,66.8682649400073
Cyprus,CYP,2013,67.0343905820875
Cyprus,CYP,2014,68.6804326927284
Cyprus,CYP,2015,67.3098306729774
Cyprus,CYP,2016,65.5126935066585
Cyprus,CYP,2017,64.9242912299762
Cyprus,CYP,2018,64.9469251656965
Cyprus,CYP,2019,63.4628035369991
Cyprus,CYP,2020,61.5260513288004
Cyprus,CYP,2021,56.8819929437144
Cyprus,CYP,2022,57.8949501186797
Czechia,CZE,2000,50.1102221110972
Czechia,CZE,2001,49.4651898807443
Czechia,CZE,2002,49.5043383795544
Czechia,CZE,2003,49.732793024982
Czechia,CZE,2004,48.5627362338666
Czechia,CZE,2005,47.7614214170442
Czechia,CZE,2006,46.9740403801202
Czechia,CZE,2007,46.0966559137527
Czechia,CZE,2008,47.4401148811511
Czechia,CZE,2009,48.7428098557726
Czechia,CZE,2010,48.5618475002926
Czechia,CZE,2011,48.8343257177949
Czechia,CZE,2012,49.0703639726825
Czechia,CZE,2013,49.2578215792666
Czechia,CZE,2014,47.9683489527502
Czechia,CZE,2015,46.8916097874098
Czechia,CZE,2016,46.9343365620283
Czechia,CZE,2017,46.7213415444118
Czechia,CZE,2018,46.8957533484313
Czechia,CZE,2019,46.0418121034786
Czechia,CZE,2020,44.4052469340211
Czechia,CZE,2021,43.9412596082124
Czechia,CZE,2022,44.9262624910069
Ecuador,ECU,2000,63.6083073764659
Ecuador,ECU,2001,72.6309899812146
Ecuador,ECU,2002,73.4566507370372
Ecuador,ECU,2003,71.8076623286367
Ecuador,ECU,2004,70.3803531796766
Ecuador,ECU,2005,68.2018967324513
Ecuador,ECU,2006,65.4432552470891
Ecuador,ECU,2007,64.3859095694022
Ecuador,ECU,2008,60.4659499814179
Ecuador,ECU,2009,63.1566983850131
Ecuador,ECU,2010,63.6594012715438
Ecuador,ECU,2011,61.2130255229973
Ecuador,ECU,2012,60.5798597158116
Ecuador,ECU,2013,59.5513203878947
Ecuador,ECU,2014,59.2707666599616
Ecuador,ECU,2015,64.2588180475011
Ecuador,ECU,2016,63.5201523049222
Ecuador,ECU,2017,62.8686259378349
Ecuador,ECU,2018,62.824407440779
Ecuador,ECU,2019,63.7522724045372
Ecuador,ECU,2020,63.5146875404734
Ecuador,ECU,2021,63.8199604801414
Ecuador,ECU,2022,64.3525870700223
Egypt,EGY,2000,75.8600411643634
Egypt,EGY,2001,75.2718148870923
Egypt,EGY,2002,73.7661652150963
Egypt,EGY,2003,73.0299401197605
Egypt,EGY,2004,71.6670100968473
Egypt,EGY,2005,71.5506035283194
Egypt,EGY,2006,70.6006151853651
Egypt,EGY,2007,72.3952738990333
Egypt,EGY,2008,72.3171412618649
Egypt,EGY,2009,76.0986374976012
Egypt,EGY,2010,74.5731808387204
Egypt,EGY,2011,75.5670629421632
Egypt,EGY,2012,80.7129635158536
Egypt,EGY,2013,80.7729520533219
Egypt,EGY,2014,82.9389671361502
Egypt,EGY,2015,82.4297229837555
Egypt,EGY,2016,83.0885066804458
Egypt,EGY,2017,86.0800350118986
Egypt,EGY,2018,83.2904719043333
Egypt,EGY,2019,80.4967834167262
Egypt,EGY,2020,83.6459383025063
Egypt,EGY,2021,86.0050126817847
Egypt,EGY,2022,82.5221549250877
Ethiopia,ETH,2000,
Ethiopia,ETH,2001,
