Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,RD_Expenditure,Contribution_revenue,GDP_percapita,Education_perGDP
Argentina,ARG,2000,60.8399424011737,8.22001076,0.438840001821518,23.4222563056389,7637.01489203628,4.58031
Argentina,ARG,2001,60.442088771688,8.37179852,0.424609988927841,22.8402715311037,7141.47507662826,4.83374
Argentina,ARG,2002,60.0100181534326,7.3933115,0.388859987258911,19.678291491537,2569.69963519124,4.01734
Argentina,ARG,2003,59.5157720560259,6.89451647,0.410129994153976,16.2280570401266,3320.47775133903,3.53505
Argentina,ARG,2004,58.9908808603745,7.22868252,0.403759986162186,16.5557606385361,4242.02099089422,3.48652
Argentina,ARG,2005,58.4885317167095,7.61078882,0.420740008354187,17.4505649644846,5067.65342293276,3.86001
Argentina,ARG,2006,58.0003526705021,7.64032793,0.452160000801086,19.433826752701,5869.38028970204,4.12821
Argentina,ARG,2007,57.5050434620378,7.83455086,0.460070013999939,26.4020495129493,7185.25155147027,4.4626
Argentina,ARG,2008,57.0741876732807,8.1826973,0.470550000667572,24.02195439319,8944.1102657357,4.84441
Argentina,ARG,2009,56.735685768345,9.45599556,0.583980023860931,28.9770737481959,8150.23527028221,5.53105
Argentina,ARG,2010,56.452142111234,9.44546413,0.561039984226227,28.306984863164,10260.1313108254,5.01971
Argentina,ARG,2011,56.2739537637124,9.41819859,0.565970003604889,30.3497828604286,12704.2831819684,5.29063
Argentina,ARG,2012,56.1467747951315,9.82726669,0.634909987449646,31.2223396268536,12949.717486654,5.34583
Argentina,ARG,2013,56.0487044709811,9.78097916,0.618489980697632,31.7523181946791,12963.675773326,5.43661
Argentina,ARG,2014,56.0256427923844,9.67129993,0.593959987163544,29.2376840944513,12233.1444119186,5.36144
Argentina,ARG,2015,56.0522891497333,10.22933674,0.622619986534119,31.1406982010086,13679.6264980954,5.77611
Argentina,ARG,2016,56.0461721346243,9.85558891,0.558149993419647,32.3220780680517,12699.9623137756,5.54549
Argentina,ARG,2017,55.9728015245357,10.23174763,0.556309998035431,35.0715804198445,14532.5009308511,5.46223
Armenia,ARM,2004,48.9919306433595,6.05510139,0.256590008735657,14.082448556199,1130.08791444158,2.48673
Armenia,ARM,2005,47.8193074702708,5.8618803,0.257609993219376,14.2543232675329,1557.48458908655,2.71203
Armenia,ARM,2006,46.4862231466127,5.85007095,0.240569993853569,14.8262017223638,2041.65267068997,2.71577
Armenia,ARM,2007,45.1305540220802,5.49814034,0.211070001125336,12.666552810745,2962.70234594569,3.01894
Armenia,ARM,2008,44.0261431322025,6.63976622,0.224380001425743,12.6315310828822,3777.66859313767,3.17273
Armenia,ARM,2009,43.2941291937252,8.44377708,0.29093000292778,14.2432790431012,2820.5926553347,3.84079
Armenia,ARM,2010,42.9172236658305,9.23538303,0.241390004754066,12.9238503075137,3041.34450723339,3.249
Armenia,ARM,2011,42.8588952887091,9.37588882,0.270139992237091,13.3840445298085,3349.55309771906,3.14385
Armenia,ARM,2012,43.1066653605776,9.13455009,0.238529995083809,13.0790933541963,3511.56399687426,2.77248
Armenia,ARM,2013,43.5955735295585,10.32345009,0.222159996628761,1.61983528844496,3680.16692158886,2.65018
Armenia,ARM,2014,44.220347328995,10.17827892,0.241510003805161,1.40949242625845,3852.11800610384,2.24724
Armenia,ARM,2015,45.0074829961521,10.11762714,0.250019997358322,0.726236230955159,3512.39350276709,2.80591
Brazil,BRA,2010,45.7187256688073,7.94516611,1.15991997718811,31.5529577946931,11403.2821284616,5.6488
Brazil,BRA,2011,45.1609994407706,7.78819132,1.13966000080109,31.8870126994403,13396.6243566047,5.73741
Brazil,BRA,2012,44.6429009356262,7.73637724,1.12683999538422,31.4412568226523,12521.7213530369,5.8551
Brazil,BRA,2013,44.1751173479507,7.9766016,1.19567000865936,32.2561576862547,12458.891214816,5.83885
Brazil,BRA,2014,43.8183703322034,8.39644146,1.26970994472504,33.7823427905954,12274.9939689363,5.94848
Brazil,BRA,2015,43.5935934449924,8.90929985,1.37092995643616,31.6180564110507,8936.19661756825,6.24106
Brazil,BRA,2016,43.4398109123601,9.16901684,1.28637003898621,31.2806879470141,8836.28652636996,6.31404
Brazil,BRA,2017,43.3713300884192,9.47125053,1.11749994754791,33.8720942275792,10080.5092817775,6.32255
Canada,CAN,2000,46.505468173978,8.24814415,1.85847997665405,18.8661802378576,24271.0020563821,5.442
Canada,CAN,2001,46.0490993934186,8.62482357,2.02116990089417,20.2841026881349,23822.096210932,4.96956
Canada,CAN,2002,45.6162132930749,8.85670471,1.97170996665955,21.9101657296336,24256.0192337185,5.01073
Canada,CAN,2005,44.4124530492161,9.03540611,1.97126996517181,21.4261406175556,36383.6600068095,4.78215
Canada,CAN,2007,43.9728341323754,9.42872047,1.90357995033264,21.0190975213424,44660.0838892281,4.78036
Canada,CAN,2008,43.979810181512,9.58826923,1.85578000545502,21.6219998839381,46710.2526864484,4.63826
Canada,CAN,2009,44.0683296307463,10.69968033,1.9174200296402,23.243451131495,40874.8831932903,4.85264
Canada,CAN,2010,44.2426034732426,10.70405102,1.82503998279572,23.0197142776156,47560.6666009406,5.36993
Canada,CAN,2011,44.6166392924826,10.40832329,1.78714001178741,22.4927020268273,52223.8588398531,5.27444
Chile,CHL,2007,47.848284266754,6.21259642,0.311430007219315,4.88086792562641,10346.4138184533,3.21379
Chile,CHL,2008,47.1414138519081,6.73954487,0.374920010566711,5.60564175669385,10683.2188772853,3.79243
Chile,CHL,2009,46.5631224830338,7.25026846,0.354030013084412,7.46363356760434,10098.8017166866,4.23065
Chile,CHL,2010,46.0720549966286,6.81958389,0.331649988889694,6.25632560406024,12632.8704725219,4.16209
Chile,CHL,2011,45.6658086015598,6.79947519,0.352880001068115,5.89606227033918,14487.3927827263,4.04519
Chile,CHL,2013,45.2602643872248,7.47552681,0.390300005674362,6.82840298248656,15683.54863663,4.52943
Chile,CHL,2014,45.2518120502398,7.84150171,0.376679986715317,6.90217416623611,14529.6767210362,4.73095
Chile,CHL,2015,45.3254058695677,8.3513937,0.382959991693497,6.71412850656962,13433.9202985339,4.87531
Chile,CHL,2016,45.3579053946093,8.55767059,0.371030002832413,6.93408695748799,13649.8520455553,5.34201
Chile,CHL,2017,45.2413877408172,9.090518,0.356790006160736,6.91575083057027,14879.9086230423,5.41946
Colombia,COL,2000,58.8133450075626,5.63529348,0.131060004234314,7.62545687056178,2555.00751039968,3.51121
Colombia,COL,2003,56.4598488466286,5.77505445,0.173979997634888,11.0353778309592,2311.94218760291,4.32514
Colombia,COL,2008,51.8190453645652,6.84192181,0.195409998297691,17.0399442147926,5541.83629665898,3.93878
Colombia,COL,2009,50.8541482322295,7.31134558,0.193509995937347,13.5665337010393,5250.97292433518,4.77652
Colombia,COL,2010,49.928044960482,7.07130194,0.193580001592636,12.4582978377629,6398.2958447102,4.83383
Colombia,COL,2011,49.0726865317542,6.78076792,0.198420003056526,18.0018320308325,7400.9940695669,4.46608
Colombia,COL,2012,48.2742067097504,6.74601603,0.221159994602203,20.0750453991253,8108.59838244229,4.37039
Colombia,COL,2013,47.4997948976283,7.01724052,0.257609993219376,12.9823482948101,8279.10255642981,4.87855
Colombia,COL,2014,46.8044174276503,7.18553209,0.303169995546341,15.9108055218657,8187.20824890084,4.62946
Colombia,COL,2015,46.1958678527108,7.52338505,0.365420013666153,16.3921321631323,6248.51490534512,4.47039
Colombia,COL,2016,45.5697969538474,7.53117037,0.270509988069534,18.2137432960152,5959.84250367574,4.47721
Colombia,COL,2017,44.8394758378985,7.67864323,0.261090010404587,7.27819923747506,6479.53231292429,4.53551
