Country,ISO3,Year,Dependency_Ratio
Bangladesh,BGD,2008,63.3356883947747
Bangladesh,BGD,2009,62.7031938906288
Bangladesh,BGD,2010,61.9686828582303
Bangladesh,BGD,2011,61.0979549461299
Bangladesh,BGD,2012,60.0398362395264
Bangladesh,BGD,2013,58.8576060722821
Bangladesh,BGD,2014,57.6363999788042
Bangladesh,BGD,2015,56.4576539922494
Bangladesh,BGD,2016,55.3718768318608
Bangladesh,BGD,2017,54.6436395397794
Bangladesh,BGD,2018,54.3273751721014
Bangladesh,BGD,2019,54.1751879343991
Bangladesh,BGD,2020,54.0679893713504
Bangladesh,BGD,2021,53.9605921368888
Bangladesh,BGD,2022,53.6222137721463
Bangladesh,BGD,2023,53.0958193080833
Bangladesh,BGD,2024,52.6423780619832
Bangladesh,BGD,2025,52.2398280353678
Bangladesh,BGD,2026,51.9016299441163
Bangladesh,BGD,2027,51.6303205668981
Bangladesh,BGD,2028,51.4172964380076
Bangladesh,BGD,2029,51.2477904724255
Bangladesh,BGD,2030,51.1031307551392
Bangladesh,BGD,2031,50.9668334586471
Bangladesh,BGD,2032,50.8282850954542
Bangladesh,BGD,2033,50.6660559881304
Bangladesh,BGD,2034,50.4623898517688
Bangladesh,BGD,2035,50.2070221083177
Bangladesh,BGD,2036,49.8824431111171
Bangladesh,BGD,2037,49.4989763384975
Bangladesh,BGD,2038,49.0931994125886
Bangladesh,BGD,2039,48.691947028306
Bangladesh,BGD,2040,48.3175631543843
Bangladesh,BGD,2041,47.9863136205516
Bangladesh,BGD,2042,47.7062878082287
Bangladesh,BGD,2043,47.4914662663323
Bangladesh,BGD,2044,47.3608148889718
Bangladesh,BGD,2045,47.3389351043156
Bangladesh,BGD,2046,47.4517048779719
Bangladesh,BGD,2047,47.7158163570543
Bangladesh,BGD,2048,48.1282529693369
Bangladesh,BGD,2049,48.657008626744
Bangladesh,BGD,2050,49.2509414714744
Brazil,BRA,2000,53.9320341342569
Brazil,BRA,2001,52.8183017276819
Brazil,BRA,2002,51.7532497132855
Brazil,BRA,2003,50.7500013938033
Brazil,BRA,2004,49.832060271032
Brazil,BRA,2005,49.0129699418087
Brazil,BRA,2006,48.2684711339596
Brazil,BRA,2007,47.5826124507755
Brazil,BRA,2008,46.9295922668047
Brazil,BRA,2009,46.3061674570182
Brazil,BRA,2010,45.7187256688073
Brazil,BRA,2011,45.1609994407706
Brazil,BRA,2012,44.6429009356262
Brazil,BRA,2013,44.1751173479507
Brazil,BRA,2014,43.8183703322034
Brazil,BRA,2015,43.5935934449924
Brazil,BRA,2016,43.4398109123601
Brazil,BRA,2017,43.3713300884192
Brazil,BRA,2018,43.4316522323209
Brazil,BRA,2019,43.5397483001089
Brazil,BRA,2020,43.586067027448
Brazil,BRA,2021,43.6404698393342
Brazil,BRA,2022,43.7902629940777
Brazil,BRA,2023,44.0290947589819
Brazil,BRA,2024,44.3299763860952
Brazil,BRA,2025,44.6486379446561
Brazil,BRA,2026,44.9780593082522
Brazil,BRA,2027,45.3191823990975
Brazil,BRA,2028,45.6677945551596
Brazil,BRA,2029,45.996481779892
Brazil,BRA,2030,46.2881030093117
Brazil,BRA,2031,46.5879218399258
Brazil,BRA,2032,46.8841246242688
Brazil,BRA,2033,47.1364711142916
Brazil,BRA,2034,47.4062797635355
Brazil,BRA,2035,47.7595027890118
Brazil,BRA,2036,48.1876068059334
Brazil,BRA,2037,48.661778383738
Brazil,BRA,2038,49.1824711867287
Brazil,BRA,2039,49.7392524266983
Brazil,BRA,2040,50.3396240166121
Brazil,BRA,2041,51.0038734570402
Brazil,BRA,2042,51.7300335109828
Brazil,BRA,2043,52.5164419444372
Brazil,BRA,2044,53.3583888420408
Brazil,BRA,2045,54.2500905793982
Brazil,BRA,2046,55.1869907534252
Brazil,BRA,2047,56.1598563536074
Brazil,BRA,2048,57.1522003391955
Brazil,BRA,2049,58.1420446881651
Brazil,BRA,2050,59.1185587723327
Canada,CAN,2000,46.505468173978
Canada,CAN,2001,46.0490993934186
Canada,CAN,2002,45.6162132930749
Canada,CAN,2003,45.224975652383
Canada,CAN,2004,44.8239663324754
Canada,CAN,2005,44.4124530492161
Canada,CAN,2006,44.1056701402663
Canada,CAN,2007,43.9728341323754
Canada,CAN,2008,43.979810181512
Canada,CAN,2009,44.0683296307463
Canada,CAN,2010,44.2426034732426
Canada,CAN,2011,44.6166392924826
Canada,CAN,2012,45.2394993555654
Canada,CAN,2013,45.9856719197967
Canada,CAN,2014,46.7656650331144
Canada,CAN,2015,47.58596316024
Canada,CAN,2016,48.3895082605836
Canada,CAN,2017,49.0981143135691
Canada,CAN,2018,49.733479510056
Canada,CAN,2019,50.4105729188803
Canada,CAN,2020,51.1983504754589
Canada,CAN,2021,52.0342485398259
Canada,CAN,2022,52.6453145943791
Canada,CAN,2023,53.0518429291958
Canada,CAN,2024,53.6355803979972
Canada,CAN,2025,54.4179131161728
Canada,CAN,2026,55.2511223222261
Canada,CAN,2027,56.0986023532726
Canada,CAN,2028,56.9503280933079
Canada,CAN,2029,57.7690940800577
Canada,CAN,2030,58.46970452737
Canada,CAN,2031,58.9977640877723
Canada,CAN,2032,59.3911951538676
Canada,CAN,2033,59.7389271015924
Canada,CAN,2034,60.0858920988485
Canada,CAN,2035,60.4426981216007
Canada,CAN,2036,60.7439091877411
Canada,CAN,2037,60.9664124525073
Canada,CAN,2038,61.1510336419849
Canada,CAN,2039,61.3079647217669
Canada,CAN,2040,61.4769389296188
Canada,CAN,2041,61.6620178226097
Canada,CAN,2042,61.8473699626481
Canada,CAN,2043,62.041157353188
Canada,CAN,2044,62.2698724210037
Canada,CAN,2045,62.5460705709228
Canada,CAN,2046,62.8562386609828
Canada,CAN,2047,63.1874360334688
Canada,CAN,2048,63.5359047015285
Canada,CAN,2049,63.906921763373
Canada,CAN,2050,64.2879798734144
Chile,CHL,2000,53.8239099418384
Chile,CHL,2001,53.1628122502133
Chile,CHL,2002,52.4079963740217
Chile,CHL,2003,51.5482417436611
Chile,CHL,2004,50.6197973954189
Chile,CHL,2005,49.6636024989372
Chile,CHL,2006,48.7080013399686
Chile,CHL,2007,47.848284266754
Chile,CHL,2008,47.1414138519081
Chile,CHL,2009,46.5631224830338
Chile,CHL,2010,46.0720549966286
Chile,CHL,2011,45.6658086015598
Chile,CHL,2012,45.3921644620775
Chile,CHL,2013,45.2602643872248
Chile,CHL,2014,45.2518120502398
Chile,CHL,2015,45.3254058695677
Chile,CHL,2016,45.3579053946093
Chile,CHL,2017,45.2413877408172
Chile,CHL,2018,45.0787301205063
Chile,CHL,2019,44.9884626222266
Chile,CHL,2020,45.0108226842024
Chile,CHL,2021,45.0389819118115
Chile,CHL,2022,45.0486913334805
Chile,CHL,2023,45.0908347497625
Chile,CHL,2024,45.1405085154006
Chile,CHL,2025,45.2153293896903
Chile,CHL,2026,45.3036644321185
Chile,CHL,2027,45.4164050169363
Chile,CHL,2028,45.5488483094344
Chile,CHL,2029,45.6880867539974
Chile,CHL,2030,45.8453728736272
Chile,CHL,2031,46.0461978799065
Chile,CHL,2032,46.3463673389105
Chile,CHL,2033,46.7117891088634
Chile,CHL,2034,47.1352269093888
Chile,CHL,2035,47.7051053434515
Chile,CHL,2036,48.4456606042977
Chile,CHL,2037,49.2034423970915
Chile,CHL,2038,49.9498303789001
Chile,CHL,2039,50.7754333846229
Chile,CHL,2040,51.6279251725661
Chile,CHL,2041,52.5008592576756
Chile,CHL,2042,53.3923789365862
Chile,CHL,2043,54.3015250680224
Chile,CHL,2044,55.2300901672252
Chile,CHL,2045,56.1863123531501
Chile,CHL,2046,57.1756329162513
Chile,CHL,2047,58.2021464524135
Chile,CHL,2048,59.2843079606029
Chile,CHL,2049,60.4384255475829
Chile,CHL,2050,61.6682801427242
China,CHN,2000,46.1167405203608
China,CHN,2001,44.9693136545846
China,CHN,2002,43.533674132168
China,CHN,2003,42.0909788399502
China,CHN,2004,40.6938368166364
China,CHN,2005,39.2449238610193
China,CHN,2006,38.2094413932748
China,CHN,2007,37.7081137948543
China,CHN,2008,37.4043264852973
China,CHN,2009,37.2567349884096
China,CHN,2010,37.2410832935716
China,CHN,2011,37.3648666288389
China,CHN,2012,37.7155563230657
China,CHN,2013,38.2392971679035
China,CHN,2014,38.8789249288739
China,CHN,2015,39.6093613191235
China,CHN,2016,40.4406557797685
China,CHN,2017,41.5109449386089
China,CHN,2018,42.5408726929072
China,CHN,2019,43.3873633674887
China,CHN,2020,44.0923748389161
China,CHN,2021,44.4827701882176
China,CHN,2022,44.7256128180315
China,CHN,2023,44.7297141014082
China,CHN,2024,44.2441142870709
China,CHN,2025,43.510571806163
China,CHN,2026,42.7225254998538
China,CHN,2027,42.3226759093652
China,CHN,2028,42.7448040083531
China,CHN,2029,43.3572373227857
China,CHN,2030,43.8462104808629
China,CHN,2031,44.3191699871226
China,CHN,2032,44.593214754177
China,CHN,2033,45.2255232617852
China,CHN,2034,46.33903255566
China,CHN,2035,47.7423093889405
China,CHN,2036,49.4417491319336
China,CHN,2037,51.2096086498174
China,CHN,2038,53.0330854700101
China,CHN,2039,54.7636864849018
China,CHN,2040,56.2366757847466
